,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
1811,1811,1811,2019,Serpent & Dove,['Shelby Mahurin'],Debut Novel,0,5,10,34,85,151,4.287719298245613,4.21,25278.0,5680.0,https://www.goodreads.com/book/show/40024139-serpent-dove?from_choice=true,98.0,English,,,,
1840,1840,1840,2019,How To: Absurd Scientific Advice for Common Real-World Problems,['Randall Munroe'],Science & Technology,0,1,1,31,101,164,4.429530201342282,4.16,139809.0,10363.0,https://www.goodreads.com/book/show/43852758-how-to?from_choice=true,98.0,English,,,,
1852,1852,1852,2019,The Perfect Predator: A Scientist's Race to Save Her Husband from a Deadly Superbug: A Memoir,"['Steffanie Strathdee', 'Thomas Patterson']",Science & Technology,0,2,0,23,85,190,4.536666666666667,4.41,1185.0,245.0,https://www.goodreads.com/book/show/36589701-the-perfect-predator?from_choice=true,287.0,English,,,,
1858,1858,1858,2019,The Uninhabitable Earth: Life After Warming,['David Wallace-Wells'],Science & Technology,0,5,10,29,102,153,4.297658862876253,4.13,10326.0,1961.0,https://www.goodreads.com/book/show/41552709-the-uninhabitable-earth?from_choice=true,294.0,English,,,,
1867,1867,1867,2019,The Gifted School,['Bruce Holsinger'],Fiction,0,18,20,36,110,113,3.942760942760944,3.74,22637.0,3358.0,https://www.goodreads.com/book/show/42207168-the-gifted-school?from_choice=true,161.0,English,,,,
1901,1901,1901,2018,"Saga, Vol. 8","['Brian K. Vaughan', 'Fiona Staples']",Graphic Novels & Comics,0,0,3,19,122,156,4.4366666666666665,4.24,1427099.0,82595.0,https://www.goodreads.com/book/show/34963526-saga-vol-8?from_choice=true,342.0,English,,,,
1950,1950,1950,2018,They Say Blue,['Jillian Tamaki'],Picture Books,0,3,12,53,112,115,4.098305084745761,3.74,81017.0,9157.0,https://www.goodreads.com/book/show/35833840-they-say-blue?from_choice=true,278.0,English,,,,
1952,1952,1952,2018,Prince & Knight,"['Daniel Haack', 'Stevie Lewis']",Picture Books,0,1,6,41,86,163,4.36026936026936,4.25,4960.0,1083.0,https://www.goodreads.com/book/show/34204247-prince-knight?from_choice=true,217.0,English,,,,
2002,2002,2002,2018,A Love Letter from the Girls Who Feel Everything,"['Brittainy C. Cherry', 'Kandi Steiner']",Poetry,0,4,17,39,101,136,4.171717171717171,4.26,160714.0,21856.0,https://www.goodreads.com/book/show/41241311-a-love-letter-from-the-girls-who-feel-everything?from_choice=true,82.0,English,,,,
2050,2050,2050,2018,The 7½ Deaths of Evelyn Hardcastle,['Stuart Turton'],Debut Author,0,3,10,42,94,143,4.2465753424657535,3.92,72055.0,13348.0,https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle?from_choice=true,77.0,English,,,,
2062,2062,2062,2018,The Calculating Stars,['Mary Robinette Kowal'],Science Fiction,0,5,3,20,81,189,4.496644295302014,3.95,93943.0,12954.0,https://www.goodreads.com/book/show/33080122-the-calculating-stars?from_choice=true,154.0,English,,,,
2097,2097,2097,2018,Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man,"['Lynn Vincent', 'Sara Vladic']",History & Biography,0,4,7,19,54,213,4.565656565656567,4.04,344487.0,24407.0,https://www.goodreads.com/book/show/36373560-indianapolis?from_choice=true,147.0,English,,,,
2130,2130,2130,2018,The 7½ Deaths of Evelyn Hardcastle,['Stuart Turton'],Mystery & Thriller,0,3,10,42,94,143,4.2465753424657535,3.92,72055.0,13348.0,https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle?from_choice=true,77.0,English,,,,
2169,2169,2169,2018,A Court of Wings and Ruin,['Sarah J. Maas'],Best of the Best,0,7,20,14,45,196,4.429078014184396,,,,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin?from_choice=true,217.0,1408857901,0.0,inf,inf,0.0
2195,2195,2195,2018,The Book of Essie,['Meghan MacLean Weir'],Fiction,0,2,9,52,120,115,4.130872483221476,3.93,21700.0,2840.0,https://www.goodreads.com/book/show/36723245-the-book-of-essie?from_choice=true,175.0,English,,,,
2221,2221,2221,2011,Keys to the Kingdom,"['Joe Hill', 'Gabriel Rodríguez']",Graphic Novels & Comics,0,0,1,22,115,160,4.456375838926174,4.03,658776.0,59771.0,https://www.goodreads.com/book/show/9674335-keys-to-the-kingdom?from_choice=true,,,,,,
2240,2240,2240,2011,Lola and the Boy Next Door,['Stephanie Perkins'],Young Adult Fiction,0,0,6,30,89,170,4.433898305084746,3.97,639802.0,66537.0,https://www.goodreads.com/book/show/9961796-lola-and-the-boy-next-door?from_choice=true,69.0,English,,,,
2304,2304,2304,2011,A Lot like Love,['Julie James'],Romance,0,1,6,35,125,132,4.274247491638796,3.99,223678.0,13360.0,https://www.goodreads.com/book/show/8419428-a-lot-like-love?from_choice=true,281.0,English,,,,
2366,2366,2366,2011,Seed,['Ania Ahlborn'],Horror,0,5,15,48,107,85,3.969230769230769,3.6,33871.0,4960.0,https://www.goodreads.com/book/show/11422798-seed?from_choice=true,189.0,English,,,,
2379,2379,2379,2011,Forever,['Maggie Stiefvater'],Young Adult Fantasy,0,9,18,70,98,98,3.880546075085325,3.99,1413364.0,136366.0,https://www.goodreads.com/book/show/9409458-forever?from_choice=true,148.0,English,,,,
2416,2416,2416,2011,Alien in the Family,"['Gini Koch', 'Daniel Dos Santos']",Science Fiction,0,1,15,52,105,125,4.134228187919463,4.05,23883.0,2891.0,https://www.goodreads.com/book/show/8714075-alien-in-the-family?from_choice=true,246.0,English,,,,
