year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews
2013,Coming Clean,['Kimberly Rae Miller'],Memoir & Autobiography,0,2,15,76,146,61,3.83,3.95,33381,2484
2013,The Spark: A Mother's Story of Nurturing Genius,['Kristine Barnett'],Memoir & Autobiography,0,4,12,47,92,143,4.201342281879195,4.13,6699,1056
2013,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,"['Naoki Higashida', 'K.A. Yoshida', 'David Mitchell']",Memoir & Autobiography,0,4,23,78,109,83,3.8215488215488214,3.94,496599,52760
2013,My Story,"['Elizabeth  Smart', 'Chris Stewart']",Memoir & Autobiography,0,2,17,73,132,74,3.8691275167785233,3.98,63566,9213
2013,My Beloved World,['Sonia Sotomayor'],Memoir & Autobiography,0,0,2,39,142,114,4.239057239057239,4.08,25875,3552
2013,Mom & Me & Mom,['Maya Angelou'],Memoir & Autobiography,0,2,16,65,111,103,4.0,4.23,486056,17921
2013,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"['Malala Yousafzai', 'Christina Lamb']",Memoir & Autobiography,1,2,3,48,121,126,4.22,4.12,380641,22550
2013,The Dark,"['Lemony Snicket', 'Jon Klassen']",Picture Books,0,0,11,39,122,126,4.218120805369128,3.97,1857081,68312
2013,Chu's Day,"['Neil Gaiman', 'Adam Rex']",Picture Books,0,4,14,81,134,64,3.808080808080808,4.13,5564484,334441
2013,The Matchbox Diary,"['Paul Fleischman', 'Bagram Ibatoulline']",Picture Books,0,6,11,39,114,128,4.1644295302013425,4.28,86539,11453
2013,Deck the Walls: A Wacky Christmas Carol,"['Erin Dealey', 'Nick Ward']",Picture Books,0,0,0,18,15,19,4.019230769230769,3.85,1574,327
2013,Open This Little Book,"['Jesse Klausmeier', 'Suzy Lee']",Picture Books,0,0,11,35,109,142,4.286195286195286,4.07,9351,1688
2013,That Is Not a Good Idea!,['Mo Willems'],Picture Books,0,2,8,36,133,119,4.204697986577181,4.3,479817,33286
2013,Exclamation Mark,"['Amy Krouse Rosenthal', 'Tom Lichtenheld']",Picture Books,0,8,9,21,93,168,4.351170568561873,4.13,65633,9214
2013,If You Want to See a Whale,"['Julie Fogliano', 'Erin E. Stead']",Picture Books,0,8,8,57,122,102,4.016835016835016,4.16,29973,4604
2013,My Brother's Book,"['Maurice Sendak', 'Stephen Greenblatt']",Picture Books,0,20,38,66,98,75,3.5723905723905722,4.21,994166,19594
2013,Journey,['Aaron Becker'],Picture Books,0,10,7,22,80,180,4.381270903010034,4.37,16774,2945
2013,Flora and the Flamingo,['Molly Idle'],Picture Books,0,4,5,37,106,146,4.291946308724833,3.99,14566,2738
2013,Unicorn Thinks He's Pretty Great,['Bob Shea'],Picture Books,0,1,10,51,136,99,4.084175084175084,3.92,32668,4938
2013,Mustache Baby,"['Bridget Heos', 'Joy Ang']",Picture Books,0,7,12,48,95,138,4.15,4.06,6647,1307
2013,On a Beam of Light: A Story of Albert Einstein,"['Jennifer  Berne', 'Vladimir Radunsky']",Picture Books,0,0,4,31,126,133,4.319727891156463,4.0,5493,1008
2013,The Day the Crayons Quit,"['Drew Daywalt', 'Oliver Jeffers']",Picture Books,1,1,2,25,68,202,4.570469798657718,4.28,123016,14924
2013,Collide,['Gail McHugh'],Romance,0,1,7,32,79,179,4.436241610738255,4.23,109682,8619
2013,Real,['Katy Evans'],Romance,0,4,8,26,88,174,4.4,4.16,334387,29999
2013,Tangled,['Emma Chase'],Romance,0,0,3,16,73,206,4.617449664429531,4.11,345955,35110
2013,Reckless,['S.C. Stephens'],Romance,0,2,6,28,70,186,4.47945205479452,4.23,378805,25396
2013,The Longest Ride,['Nicholas Sparks'],Romance,0,1,8,30,113,144,4.320945945945946,4.07,5145876,155439
2013,Play with Me,['Kristen Proby'],Romance,0,0,2,14,83,201,4.61,4.17,427170,28030
2013,Fallen Too Far,['Abbi Glines'],Romance,0,2,6,31,92,166,4.393939393939394,4.13,1328106,80822
2013,This Girl,['Colleen Hoover'],Romance,0,0,7,27,66,196,4.523648648648648,4.25,1853467,202832
2013,Wait for You,"['J. Lynn', 'Jennifer L. Armentrout']",Romance,0,0,6,35,88,169,4.409395973154362,4.21,1660583,146403
2013,Ten Tiny Breaths,['K.A. Tucker'],Romance,0,4,4,27,79,184,4.459731543624161,4.17,218964,22540
2013,Beauty from Pain,['Georgia Cates'],Romance,0,3,2,16,95,182,4.5134228187919465,4.15,157756,11409
2013,Walking Disaster,['Jamie McGuire'],Romance,0,3,18,44,100,123,4.118055555555555,4.11,1050198,70717
2013,Entwined with You,['Sylvia Day'],Romance,0,2,10,56,110,118,4.121621621621622,4.15,1251219,61516
2013,Beneath This Man,['Jodi Ellen Malpas'],Romance,0,1,8,27,76,188,4.473333333333334,4.22,355794,26088
2013,Lover at Last,['J.R. Ward'],Romance,1,1,8,57,115,111,4.11986301369863,4.3,1853448,104336
2013,My Dog: The Paradox: A Lovable Discourse about Man's Best Friend,"['Matthew Inman', 'The Oatmeal']",Humor,0,6,10,40,85,159,4.27,4.04,63593,4648
2013,Vader's Little Princess,['Jeffrey Brown'],Humor,0,4,11,74,118,93,3.95,4.02,86210,8818
2013,Wallbanger,['Alice Clayton'],Humor,0,2,2,18,119,156,4.430976430976431,4.06,328120,27293
2013,To Be or Not To Be: A Chooseable-Path Adventure,['Ryan North'],Humor,0,3,9,49,94,144,4.2274247491638794,4.14,91496,9790
2013,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",['Allie Brosh'],Humor,1,0,1,26,112,160,4.441471571906354,4.18,158074,11705
2013,Wedding Night,['Sophie Kinsella'],Humor,0,9,44,108,100,36,3.3703703703703702,3.74,2548709,106960
2013,Parenting: Illustrated with Crappy Pictures,['Amber Dusick'],Humor,0,1,6,36,104,151,4.3355704697986575,4.05,3062,587
2013,"Still Foolin' 'Em: Where I've Been, Where I'm Going, and Where the Hell Are My Keys",['Billy Crystal'],Humor,0,4,13,85,122,73,3.8316498316498318,4.0,21695,3258
2013,Let's Explore Diabetes with Owls,['David Sedaris'],Humor,0,1,5,76,160,58,3.8966666666666665,3.99,1681150,71668
2013,Bad Monkey,['Carl Hiaasen'],Humor,0,1,13,104,138,43,3.698996655518395,3.83,467618,36062
2013,Mad About the Boy,['Helen Fielding'],Humor,0,7,43,99,102,44,3.450847457627119,3.72,1026361,20335
2013,Adulting: How to Become a Grown-up in 468 Easy(ish) Steps,['Kelly Williams Brown'],Humor,0,2,15,73,128,81,3.9063545150501673,3.73,11356,1449
2013,The Last Word,['Lisa Lutz'],Humor,0,4,8,68,153,67,3.9033333333333333,3.9,132467,15435
2013,"William Shakespeare's Star Wars: Verily, A New Hope",['Ian Doescher'],Humor,0,3,5,59,121,109,4.104377104377105,4.03,36188,5581
2013,Love and Lists,['Tara Sivec'],Humor,0,0,3,19,95,182,4.525083612040134,4.14,221109,25865
2013,Love & Misadventure,['Lang Leav'],Poetry,0,5,12,35,75,173,4.33,3.98,98320,8319
2013,Black Aperture,['Matt Rasmussen'],Poetry,0,0,4,13,49,57,4.2926829268292686,4.3,826,103
2013,Unexplained Fevers,['Jeannine Hall Gailey'],Poetry,0,0,0,6,5,19,4.433333333333334,4.21,783,146
2013,Bough Down,['Karen Green'],Poetry,0,2,3,25,44,87,4.3105590062111805,4.04,1406,158
2013,The World Will Follow Joy: Turning Madness into Flowers (New Poems),['Alice Walker'],Poetry,0,3,2,19,27,25,3.9078947368421053,4.18,550352,17624
2013,Salt,['Nayyirah Waheed'],Poetry,0,0,0,9,14,43,4.515151515151516,4.28,21489,2119
2013,Hysteria,['Stephanie M. Wytovich'],Poetry,0,1,3,1,2,22,4.413793103448276,4.0,1876,444
2013,I Will Never Be Beautiful Enough to Make Us Beautiful Together,['Mira González'],Poetry,0,1,10,13,45,71,4.25,4.15,1611,107
2013,Dog Songs,"['Mary Oliver', 'John  Burgoyne']",Poetry,0,1,11,62,124,100,4.043624161073826,4.32,92844,9320
2013,The Fall of Arthur,"['J.R.R. Tolkien', 'Christopher Tolkien']",Poetry,1,4,25,89,112,66,3.7128378378378377,4.33,7674168,117282
2013,Survival Songs,['Meggie Royer'],Poetry,0,3,5,19,47,135,4.464114832535885,4.26,1351,109
2013,"Egghead; or, You Can't Survive on Ideas Alone","['Bo Burnham', 'Chance Bone']",Poetry,0,3,19,39,97,117,4.112727272727272,4.11,9334,805
2013,"Love, Dishonor, Marry, Die, Cherish, Perish","['David Rakoff', 'Seth']",Poetry,0,4,7,54,109,126,4.153333333333333,3.94,56198,5641
2013,Incarnadine: Poems,['Mary Szybist'],Poetry,0,2,6,27,38,45,4.0,4.14,1400,174
2013,Metaphysical Dog,['Frank Bidart'],Poetry,0,0,6,22,27,41,4.072916666666667,4.05,5220,267
2013,Extinction Machine,['Jonathan Maberry'],Horror,0,1,5,37,125,132,4.273333333333333,4.04,230111,23673
2013,Shattered Hourglass,['J.L. Bourne'],Horror,0,2,36,103,94,65,3.6133333333333333,4.01,36404,2128
2013,White Trash Zombie Apocalypse,"['Diana Rowland', 'Daniel Dos Santos']",Horror,0,0,11,67,136,81,3.9728813559322034,3.97,93042,8449
2013,Parasite,['Mira Grant'],Horror,0,2,13,64,146,69,3.9081632653061225,3.94,158206,20114
2013,Red Moon,['Benjamin Percy'],Horror,0,17,39,92,100,49,3.420875420875421,3.61,32497,5226
2013,Fractured,['D.J. Molles'],Horror,0,3,2,25,139,160,4.37082066869301,4.22,42668,2155
2013,Help for the Haunted,['John Searles'],Horror,0,5,17,81,124,70,3.797979797979798,3.6,15673,2123
2013,Ex-Communication,['Peter Clines'],Horror,0,0,1,31,159,108,4.250836120401337,3.92,99897,10404
2013,The Resurrectionist: The Lost Work of Dr. Spencer Black,['E.B. Hudspeth'],Horror,0,10,61,82,96,45,3.357142857142857,3.5,3427,562
2013,The Blood Gospel,"['James Rollins', 'Rebecca Cantrell']",Horror,0,4,18,55,115,106,4.010067114093959,4.08,509255,26082
2013,The Wolves of Midwinter,['Anne Rice'],Horror,0,17,38,97,82,66,3.473333333333333,3.88,1864708,51421
2013,The Accursed,['Joyce Carol Oates'],Horror,0,31,59,90,81,30,3.06872852233677,3.69,366721,33743
2013,NOS4A2,['Joe Hill'],Horror,0,2,5,27,123,141,4.328859060402684,4.03,658776,59771
2013,Doctor Sleep,['Stephen King'],Horror,1,2,8,59,119,103,4.0756013745704465,4.03,13150017,503034
2013,Red Hill,['Jamie McGuire'],Horror,0,6,16,52,102,121,4.063973063973064,4.11,1050060,70723
2013,The Darkest Minds,['Alexandra Bracken'],Young Adult Fantasy,0,2,11,41,100,136,4.231034482758621,4.17,332528,41302
2013,Unravel Me,['Tahereh Mafi'],Young Adult Fantasy,0,1,9,38,77,171,4.378378378378378,4.15,725043,84715
2013,Prodigy,['Marie Lu'],Young Adult Fantasy,0,0,3,40,126,128,4.276094276094276,4.19,1074454,111993
2013,Clockwork Princess,['Cassandra Clare'],Young Adult Fantasy,0,1,10,26,79,180,4.4425675675675675,4.26,6295180,352169
2013,Allegiant,['Veronica Roth'],Young Adult Fantasy,1,14,32,73,84,53,3.5078125,4.07,5041052,264747
2013,The Rithmatist,"['Brandon Sanderson', 'Ben McSweeney']",Young Adult Fantasy,0,0,7,28,127,138,4.32,4.23,16740,2868
2013,Steelheart,['Brandon Sanderson'],Young Adult Fantasy,0,0,3,31,132,130,4.3141891891891895,4.39,2994920,196781
2013,Light,['Michael  Grant'],Young Adult Fantasy,0,2,0,27,85,179,4.498293515358362,4.01,480854,30667
2013,Etiquette & Espionage,['Gail Carriger'],Young Adult Fantasy,0,2,6,67,141,82,3.98993288590604,4.0,374658,41271
2013,Crown of Midnight,['Sarah J. Maas'],Young Adult Fantasy,0,1,5,14,79,197,4.574324324324325,4.4,2690827,275172
2013,Through the Ever Night,['Veronica Rossi'],Young Adult Fantasy,0,0,4,33,118,142,4.34006734006734,4.06,242949,20289
2013,Siege and Storm,['Leigh Bardugo'],Young Adult Fantasy,0,1,6,41,103,139,4.286206896551724,4.22,1044221,143448
2013,The 5th Wave,['Rick Yancey'],Young Adult Fantasy,0,3,13,41,100,140,4.215488215488215,3.98,562546,53391
2013,Scarlet,['Marissa Meyer'],Young Adult Fantasy,0,0,2,22,95,174,4.505119453924915,4.23,1671666,184711
2013,The Indigo Spell,['Richelle Mead'],Young Adult Fantasy,0,0,2,26,81,187,4.530405405405405,4.26,2893932,137154
2013,MaddAddam,['Margaret Atwood'],Science Fiction,1,6,19,87,114,74,3.77,4.02,2315094,147297
2013,Dust,['Hugh Howey'],Science Fiction,0,0,4,30,117,149,4.37,4.15,553761,38971
2013,CyberStorm,['Matthew Mather'],Science Fiction,0,6,24,57,144,69,3.82,3.82,49970,4416
2013,The Lives of Tao,['Wesley Chu'],Science Fiction,0,3,15,64,129,88,3.9498327759197323,3.99,33051,4875
2013,Earth Afire,"['Orson Scott Card', 'Aaron Johnston']",Science Fiction,0,2,7,77,135,79,3.94,4.08,2496739,103033
2013,Terms of Enlistment,['Marko Kloos'],Science Fiction,0,3,11,53,157,75,3.9698996655518393,4.11,77265,4197
2013,Guardian,['Jack Campbell'],Science Fiction,0,0,11,72,135,82,3.96,4.02,181577,7243
2013,The Humans,['Matt Haig'],Science Fiction,0,3,12,39,119,126,4.1806020066889635,3.97,182678,23741
2013,The Human Division,['John Scalzi'],Science Fiction,0,0,8,54,158,80,4.033333333333333,4.03,670966,54300
2013,Shadow of Freedom,['David Weber'],Science Fiction,0,0,15,74,125,84,3.9328859060402683,4.13,452057,14603
2013,The Long War,"['Terry Pratchett', 'Stephen Baxter']",Science Fiction,0,6,39,108,102,42,3.4545454545454546,4.15,3932086,137778
2013,Countdown City,['Ben H. Winters'],Science Fiction,0,0,7,52,170,71,4.016666666666667,3.74,91694,12250
2013,Perdition,['Ann Aguirre'],Science Fiction,0,6,11,57,125,94,3.9897610921501707,3.94,205260,19853
2013,Brilliance,['Marcus Sakey'],Science Fiction,0,4,14,59,147,75,3.919732441471572,3.96,78533,6244
2013,Abaddon's Gate,['James S.A. Corey'],Science Fiction,0,1,7,42,144,104,4.151006711409396,4.24,533078,33985
