,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
18,18,18,2013,Ali's Pretty Little Lies,['Sara Shepard'],Young Adult Fiction,0,1,9,65,116,135,4.1503067484662575,3.97,812949.0,45900.0,https://www.goodreads.com/book/show/14813667-ali-s-pretty-little-lies?from_choice=true,336.0,006223336X,0.0,inf,inf,0.0
19,19,19,2013,"Forgive Me, Leonard Peacock",['Matthew Quick'],Young Adult Fiction,0,3,18,63,107,84,3.9127272727272726,3.93,226777.0,25023.0,https://www.goodreads.com/book/show/13477676-forgive-me-leonard-peacock?from_choice=true,113.0,0316221333,0.0,inf,inf,0.0
20,20,20,2013,Game,['Barry Lyga'],Young Adult Fiction,0,1,8,29,115,141,4.316326530612245,3.96,87109.0,11647.0,https://www.goodreads.com/book/show/15790833-game?from_choice=true,232.0,0316125873,0.0,inf,inf,0.0
21,21,21,2013,Rose Under Fire,['Elizabeth E. Wein'],Young Adult Fiction,0,0,0,32,116,148,4.391891891891892,4.02,122995.0,19802.0,https://www.goodreads.com/book/show/17262236-rose-under-fire?from_choice=true,85.0,1423183096,0.0,inf,inf,0.0
22,22,22,2013,Dare You To,['Katie McGarry'],Young Adult Fiction,0,0,5,24,110,156,4.413559322033898,4.09,244029.0,22823.0,https://www.goodreads.com/book/show/13561164-dare-you-to?from_choice=true,190.0,0373210639,0.0,inf,inf,0.0
23,23,23,2013,Where the Stars Still Shine,['Trish Doller'],Young Adult Fiction,0,4,13,47,105,125,4.1360544217687085,3.82,33839.0,4183.0,https://www.goodreads.com/book/show/15826648-where-the-stars-still-shine?from_choice=true,71.0,161963144X,0.0,inf,inf,0.0
24,24,24,2013,Perfect Scoundrels,['Ally Carter'],Young Adult Fiction,0,2,2,29,100,163,4.418918918918919,4.05,704610.0,45485.0,https://www.goodreads.com/book/show/13580928-perfect-scoundrels?from_choice=true,302.0,1423166000,0.0,inf,inf,0.0
25,25,25,2013,Two Boys Kissing,['David Levithan'],Young Adult Fiction,0,1,7,39,83,162,4.363013698630136,3.81,960370.0,88029.0,https://www.goodreads.com/book/show/17237214-two-boys-kissing?from_choice=true,99.0,0307931900,0.0,inf,inf,0.0
26,26,26,2013,The Moon and More,['Sarah Dessen'],Young Adult Fiction,0,2,25,85,132,48,3.6815068493150687,3.99,1396066.0,65297.0,https://www.goodreads.com/book/show/16101126-the-moon-and-more?from_choice=true,183.0,0670785601,0.0,inf,inf,0.0
27,27,27,2013,The Beginning of Everything,['Robyn Schneider'],Young Adult Fiction,0,3,9,69,115,98,4.0068027210884365,3.8,65278.0,8025.0,https://www.goodreads.com/book/show/13522285-the-beginning-of-everything?from_choice=true,99.0,0062217135,0.0,inf,inf,0.0
28,28,28,2013,The Distance Between Us,['Kasie West'],Young Adult Fiction,0,3,8,52,125,107,4.101694915254237,3.94,299218.0,42240.0,https://www.goodreads.com/book/show/15283043-the-distance-between-us?from_choice=true,155.0,0062235656,0.0,inf,inf,0.0
29,29,29,2013,Fangirl,['Rainbow Rowell'],Young Adult Fiction,0,2,11,32,114,139,4.2651006711409405,4.03,1857540.0,193230.0,https://www.goodreads.com/book/show/16068905-fangirl?from_choice=true,85.0,B00BMKH5NW,0.0,inf,inf,0.0
30,30,30,2013,Wave,['Sonali Deraniyagala'],Memoir & Autobiography,0,2,26,69,125,76,3.8288590604026846,3.73,15835.0,2438.0,https://www.goodreads.com/book/show/15771862-wave?from_choice=true,274.0,English,0.0,inf,inf,0.0
31,31,31,2013,A House in the Sky,"['Amanda Lindhout', 'Sara Corbett']",Memoir & Autobiography,0,0,6,40,96,156,4.348993288590603,4.23,43304.0,4327.0,https://www.goodreads.com/book/show/18039963-a-house-in-the-sky?from_choice=true,85.0,1451651694,0.0,inf,inf,0.0
32,32,32,2013,Until I Say Goodbye: A Book about Living,['Susan Spencer-Wendel'],Memoir & Autobiography,0,1,4,46,116,129,4.243243243243243,4.04,7277.0,878.0,https://www.goodreads.com/book/show/17553448-until-i-say-goodbye?from_choice=true,278.0,1444762184,0.0,inf,inf,0.0
33,33,33,2013,Waiting to Be Heard: A Memoir,['Amanda Knox'],Memoir & Autobiography,0,6,11,73,129,80,3.8896321070234112,3.82,14764.0,1437.0,https://www.goodreads.com/book/show/15833693-waiting-to-be-heard?from_choice=true,218.0,0062217208,0.0,inf,inf,0.0
34,34,34,2013,After Visiting Friends: A Son's Story,['Michael Hainey'],Memoir & Autobiography,0,3,22,91,134,47,3.6734006734006734,3.67,6646.0,992.0,https://www.goodreads.com/book/show/15803014-after-visiting-friends?from_choice=true,288.0,1451676565,0.0,inf,inf,0.0
35,35,35,2013,"The World's Strongest Librarian: A Memoir of Tourette's, Faith, Strength, and the Power of Family",['Josh Hanagarne'],Memoir & Autobiography,0,4,14,70,118,92,3.9395973154362416,3.79,10523.0,1886.0,https://www.goodreads.com/book/show/16101121-the-world-s-strongest-librarian?from_choice=true,216.0,1592407870,0.0,inf,inf,0.0
36,36,36,2013,"Happy, Happy, Happy","['Phil Robertson', 'Mark Schlabach']",Memoir & Autobiography,0,0,10,49,103,137,4.22742474916388,4.03,24450.0,2536.0,https://www.goodreads.com/book/show/17455541-happy-happy-happy?from_choice=true,211.0,B009UVMGMA,0.0,inf,inf,0.0
37,37,37,2013,"Sum It Up: 1,098 Victories, a Couple of Irrelevant Losses, and a Life in Perspective","['Pat Summitt', 'Sally Jenkins']",Memoir & Autobiography,0,1,1,20,81,196,4.5719063545150505,3.78,49135.0,3373.0,https://www.goodreads.com/book/show/15841863-sum-it-up?from_choice=true,274.0,0385346875,0.0,inf,inf,0.0
38,38,38,2013,Coming Clean,['Kimberly Rae Miller'],Memoir & Autobiography,0,2,15,76,146,61,3.83,3.95,33381.0,2484.0,https://www.goodreads.com/book/show/16218778-coming-clean?from_choice=true,134.0,0544025830,0.0,inf,inf,0.0
39,39,39,2013,The Spark: A Mother's Story of Nurturing Genius,['Kristine Barnett'],Memoir & Autobiography,0,4,12,47,92,143,4.201342281879195,4.13,6699.0,1056.0,https://www.goodreads.com/book/show/15798364-the-spark?from_choice=true,239.0,0812993373,0.0,inf,inf,0.0
40,40,40,2013,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,"['Naoki Higashida', 'K.A. Yoshida', 'David Mitchell']",Memoir & Autobiography,0,4,23,78,109,83,3.821548821548821,3.94,496599.0,52760.0,https://www.goodreads.com/book/show/16113737-the-reason-i-jump?from_choice=true,99.0,0812994868,0.0,inf,inf,0.0
41,41,41,2013,My Story,"['Elizabeth  Smart', 'Chris Stewart']",Memoir & Autobiography,0,2,17,73,132,74,3.8691275167785233,3.98,63566.0,9213.0,https://www.goodreads.com/book/show/17287028-my-story?from_choice=true,58.0,1250040159,0.0,inf,inf,0.0
42,42,42,2013,My Beloved World,['Sonia Sotomayor'],Memoir & Autobiography,0,0,2,39,142,114,4.239057239057239,4.08,25875.0,3552.0,https://www.goodreads.com/book/show/13642929-my-beloved-world?from_choice=true,323.0,0307594882,0.0,inf,inf,0.0
43,43,43,2013,Mom & Me & Mom,['Maya Angelou'],Memoir & Autobiography,0,2,16,65,111,103,4.0,4.23,486056.0,17921.0,https://www.goodreads.com/book/show/15798797-mom-me-mom?from_choice=true,246.0,1400066115,0.0,inf,inf,0.0
